Step,Prey,Predator
0,88,20
1,94,14
2,110,3
3,119,3
4,130,0
5,138,0
6,147,0
7,163,0
8,177,0
9,193,0
10,216,0
11,233,0
12,256,0
13,284,0
14,314,0
15,343,0
16,374,0
17,417,0
18,459,0
19,510,0
20,560,0
21,617,0
22,672,0
23,740,0
24,824,0
25,909,0
26,1002,0
27,1088,0
28,1174,0
29,1276,0
30,1396,0
31,1543,0
32,1691,0
33,1881,0
34,2075,0
35,2279,0
36,2487,0
37,2751,0
38,3025,0
39,3308,0
40,3615,0
41,4000,0
42,4387,0
43,4814,0
44,5309,0
45,5839,0
46,6419,0
47,7066,0
48,7768,0
49,8549,0
50,9431,0
51,10348,0
52,11430,0
53,12592,0
54,13844,0
55,15213,0
56,16702,0
57,18386,0
58,20218,0
59,22235,0
60,24447,0
61,26734,0
62,29391,0
63,32295,0
64,35559,0
65,39079,0
66,43089,0
67,47327,0
68,52007,0
69,57197,0
70,62911,0
71,69182,0
72,76140,0
73,83842,0
74,92233,0
75,101527,0
76,111743,0
77,123053,0
78,135404,0
79,148883,0
