Step,Prey,Predator
0,91,20
1,101,15
2,105,3
3,114,3
4,126,1
5,135,0
6,144,0
7,157,0
8,175,0
9,196,0
10,225,0
11,247,0
12,270,0
13,294,0
14,328,0
15,356,0
16,382,0
17,415,0
18,461,0
19,503,0
20,554,0
21,606,0
22,672,0
23,734,0
24,809,0
25,894,0
26,981,0
27,1069,0
28,1181,0
29,1311,0
30,1435,0
31,1561,0
32,1704,0
33,1878,0
34,2049,0
35,2251,0
36,2484,0
37,2740,0
38,2993,0
39,3298,0
40,3655,0
41,4023,0
42,4428,0
43,4890,0
44,5354,0
45,5890,0
46,6458,0
47,7125,0
48,7846,0
49,8596,0
50,9463,0
51,10371,0
52,11384,0
53,12475,0
54,13646,0
55,14967,0
56,16390,0
57,17906,0
58,19689,0
59,21625,0
60,23692,0
61,26125,0
62,28725,0
63,31607,0
64,34783,0
65,38249,0
66,42090,0
67,46242,0
68,50822,0
69,55891,0
70,61448,0
71,67489,0
72,74304,0
73,81731,0
74,89853,0
75,98757,0
76,108612,0
77,119495,0
78,131461,0
79,144724,0
