Step,Prey,Predator
0,87,20
1,95,15
2,111,1
3,123,1
4,135,1
5,147,1
6,160,0
7,178,0
8,190,0
9,209,0
10,226,0
11,242,0
12,266,0
13,296,0
14,317,0
15,344,0
16,379,0
17,428,0
18,471,0
19,519,0
20,574,0
21,624,0
22,688,0
23,763,0
24,848,0
25,945,0
26,1028,0
27,1125,0
28,1246,0
29,1400,0
30,1529,0
31,1674,0
32,1845,0
33,2041,0
34,2249,0
35,2467,0
36,2697,0
37,2964,0
38,3256,0
39,3612,0
40,3967,0
41,4366,0
42,4806,0
43,5285,0
44,5835,0
45,6422,0
46,7054,0
47,7790,0
48,8592,0
49,9434,0
50,10406,0
51,11403,0
52,12551,0
53,13776,0
54,15178,0
55,16702,0
56,18399,0
57,20213,0
58,22227,0
59,24469,0
60,26980,0
61,29743,0
62,32650,0
63,35932,0
64,39466,0
65,43361,0
66,47703,0
67,52431,0
68,57634,0
69,63406,0
70,69780,0
71,76670,0
72,84397,0
73,92968,0
74,102370,0
75,112682,0
76,123945,0
77,136312,0
78,149882,0
79,164759,0
