Step,Prey,Predator
0,85,20
1,94,14
2,105,3
3,115,3
4,130,1
5,142,1
6,155,0
7,175,0
8,197,0
9,225,0
10,252,0
11,285,0
12,308,0
13,350,0
14,375,0
15,410,0
16,454,0
17,502,0
18,539,0
19,592,0
20,656,0
21,721,0
22,796,0
23,883,0
24,962,0
25,1051,0
26,1152,0
27,1263,0
28,1384,0
29,1536,0
30,1697,0
31,1870,0
32,2074,0
33,2266,0
34,2482,0
35,2721,0
36,2981,0
37,3267,0
38,3584,0
39,3953,0
40,4365,0
41,4782,0
42,5260,0
43,5759,0
44,6335,0
45,6967,0
46,7644,0
47,8383,0
48,9262,0
49,10165,0
50,11168,0
51,12192,0
52,13404,0
53,14787,0
54,16281,0
55,17880,0
56,19697,0
57,21602,0
58,23781,0
59,26176,0
60,28830,0
61,31657,0
62,34958,0
63,38393,0
64,42226,0
65,46491,0
66,51247,0
67,56458,0
68,62112,0
69,68339,0
70,75075,0
71,82695,0
72,90837,0
73,99987,0
74,110020,0
75,120951,0
76,133302,0
77,146561,0
78,161195,0
79,176977,0
