Step,Prey,Predator
0,95,20
1,105,15
2,118,2
3,137,2
4,159,0
5,185,0
6,210,0
7,239,0
8,272,0
9,317,0
10,354,0
11,415,0
12,473,0
13,542,0
14,616,0
15,706,0
16,814,0
17,933,0
18,1080,0
19,1230,0
20,1391,0
21,1620,0
22,1862,0
23,2168,0
24,2470,0
25,2847,0
26,3311,0
27,3815,0
28,4356,0
29,4958,0
30,5726,0
31,6555,0
32,7543,0
33,8657,0
34,9970,0
35,11440,0
36,13149,0
37,15165,0
38,17459,0
39,20093,0
40,23146,0
41,26612,0
42,30651,0
43,35260,0
44,40467,0
45,46556,0
46,53634,0
47,61705,0
48,70883,0
49,81508,0
50,93705,0
51,107872,0
52,124074,0
53,142591,0
54,164148,0
55,189019,0
56,217372,0
57,249962,0
58,287725,0
59,330603,0
60,380363,0
61,437001,0
62,502214,0
63,577251,0
64,663871,0
65,763473,0
66,878138,0
67,1010432,0
68,1161819,0
69,1335837,0
70,1536751,0
71,1767451,0
72,2031761,0
73,2336437,0
74,2686570,0
75,3091211,0
76,3555189,0
77,4089017,0
78,4702137,0
79,5407990,0
