Step,Prey,Predator
0,83,20
1,92,20
2,108,4
3,128,4
4,147,0
5,168,0
6,199,0
7,233,0
8,273,0
9,311,0
10,356,0
11,408,0
12,460,0
13,524,0
14,590,0
15,686,0
16,784,0
17,904,0
18,1055,0
19,1220,0
20,1399,0
21,1612,0
22,1876,0
23,2137,0
24,2452,0
25,2825,0
26,3251,0
27,3772,0
28,4333,0
29,5003,0
30,5693,0
31,6561,0
32,7559,0
33,8713,0
34,9999,0
35,11511,0
36,13296,0
37,15398,0
38,17644,0
39,20409,0
40,23549,0
41,27126,0
42,31226,0
43,35900,0
44,41260,0
45,47386,0
46,54533,0
47,62678,0
48,72064,0
49,82847,0
50,95381,0
51,109606,0
52,125914,0
53,144652,0
54,166068,0
55,190985,0
56,219676,0
57,252219,0
58,290191,0
59,333620,0
60,383963,0
61,441266,0
62,507571,0
63,583282,0
64,670559,0
65,771405,0
66,887138,0
67,1020007,0
68,1172737,0
69,1348799,0
70,1551422,0
71,1784645,0
72,2052789,0
73,2360671,0
74,2714858,0
75,3123193,0
76,3591482,0
77,4130758,0
78,4750647,0
79,5462849,0
