Step,Prey,Predator
0,63,30
1,68,23
2,76,3
3,87,2
4,96,1
5,115,1
6,129,1
7,153,0
8,177,0
9,202,0
10,235,0
11,276,0
12,316,0
13,355,0
14,402,0
15,459,0
16,533,0
17,604,0
18,702,0
19,817,0
20,951,0
21,1111,0
22,1297,0
23,1467,0
24,1671,0
25,1906,0
26,2184,0
27,2492,0
28,2902,0
29,3339,0
30,3858,0
31,4439,0
32,5110,0
33,5899,0
34,6797,0
35,7823,0
36,8951,0
37,10323,0
38,11890,0
39,13626,0
40,15636,0
41,17991,0
42,20640,0
43,23783,0
44,27364,0
45,31492,0
46,36183,0
47,41561,0
48,47768,0
49,54891,0
50,63136,0
51,72657,0
52,83428,0
53,95861,0
54,110185,0
55,126579,0
56,145770,0
57,167598,0
58,192920,0
59,221809,0
60,254925,0
61,293471,0
62,337560,0
63,388406,0
64,446934,0
65,513920,0
66,591018,0
67,679983,0
68,782499,0
69,900101,0
70,1035395,0
71,1191017,0
72,1370274,0
73,1575004,0
74,1810448,0
75,2081771,0
76,2393860,0
77,2753119,0
78,3166234,0
79,3640277,0
