Step,Prey,Predator
0,69,30
1,78,26
2,89,1
3,114,1
4,129,0
5,154,0
6,168,0
7,196,0
8,223,0
9,270,0
10,320,0
11,374,0
12,437,0
13,505,0
14,572,0
15,657,0
16,742,0
17,840,0
18,962,0
19,1102,0
20,1272,0
21,1455,0
22,1669,0
23,1906,0
24,2195,0
25,2520,0
26,2918,0
27,3356,0
28,3870,0
29,4474,0
30,5144,0
31,5910,0
32,6814,0
33,7776,0
34,8900,0
35,10238,0
36,11767,0
37,13497,0
38,15514,0
39,17823,0
40,20478,0
41,23571,0
42,27152,0
43,31118,0
44,35809,0
45,41216,0
46,47324,0
47,54401,0
48,62509,0
49,71890,0
50,82737,0
51,95081,0
52,109090,0
53,125294,0
54,144281,0
55,165805,0
56,190753,0
57,219559,0
58,252214,0
59,290056,0
60,333635,0
61,383421,0
62,440847,0
63,507106,0
64,583125,0
65,670126,0
66,770465,0
67,886698,0
68,1019477,0
69,1172683,0
70,1348433,0
71,1550946,0
72,1783320,0
73,2051207,0
74,2358546,0
75,2712330,0
76,3119423,0
77,3587057,0
78,4124537,0
79,4743537,0
